studentId,sectionId
200000007,138
200000008,136
200000009,118
200000010,111
200000011,139
200000012,123
200000013,116
200000014,128
200000015,131
200000016,119
200000017,105
200000018,137
200000019,113
200000020,119
200000021,137
200000022,110
200000023,135
200000024,107
200000025,135
200000026,115
200000027,111
200000028,131
200000029,136
200000030,132
200000031,102
200000032,127
200000033,106
200000034,105
200000035,135
200000036,115
200000037,125
200000038,128
200000039,115
200000040,123
200000041,107
200000042,136
200000043,112
200000044,120
200000045,124
200000046,117
200000047,135
200000048,134
200000049,132
200000050,119
200000051,111
200000052,117
200000053,139
200000054,118
200000055,129
200000056,123
200000057,125
200000058,115
200000060,132
200000061,117
200000062,138
200000063,103
200000064,110
200000065,110
200000066,110
200000067,107
200000068,137
200000069,118
200000070,133
200000071,114
200000072,109
200000073,129
200000074,119
200000075,118
200000076,136
200000077,113
200000078,116
200000080,120
200000081,114
200000082,104
200000083,132
200000084,116
200000085,122
200000086,138
200000087,129
200000088,131
200000089,116
200000090,132
200000091,136
200000092,119
200000093,104
200000094,126
200000095,134
200000096,100
200000097,137
200000098,136
200000099,122
200000100,121
200000101,115
200000102,129
200000103,125
200000104,137
200000105,131
200000106,102
200000107,100
200000108,118
200000109,127
200000110,121
200000111,106
200000112,124
200000113,110
200000114,109
200000115,125
200000116,107
200000117,121
200000118,113
200000119,127
200000120,133
200000121,138
200000122,134
200000123,131
200000124,119
200000125,115
200000126,111
200000127,130
200000128,118
200000129,112
200000130,116
200000131,114
200000132,134
200000133,119
200000134,115
200000135,109
200000136,104
200000137,134
200000138,103
200000139,136
200000140,130
200000141,132
200000142,117
200000143,131
200000144,129
200000145,101
200000146,135
200000147,109
200000148,121
200000149,138
200000150,125
200000152,110
200000153,116
200000154,106
200000155,122
200000156,109
200000157,107
200000158,104
200000159,128
200000160,123
200000161,100
200000162,114
200000163,132
200000164,123
200000165,106
200000166,126
200000167,115
200000169,138
200000170,139
200000001,104
200000002,103
200000003,136
200000004,128
200000005,111
200000006,116
200000008,113
200000009,114
200000010,132
200000011,131
200000013,105
200000014,124
200000015,106
200000016,125
200000017,109
200000018,105
200000019,136
200000020,133
200000021,139
200000022,124
200000023,114
200000024,106
200000025,121
200000026,109
200000027,132
200000028,109
200000029,133
200000031,117
200000032,117
200000033,128
200000034,107
200000035,124
200000036,113
200000037,130
200000038,103
200000039,124
200000040,114
200000041,129
200000042,102
200000043,132
200000044,130
200000045,119
200000046,128
200000047,130
200000048,123
200000049,124
200000050,121
200000051,108
200000052,124
200000053,111
200000054,109
200000055,126
200000056,118
200000057,109
200000058,139
200000059,115
200000060,139
200000061,111
200000062,134
200000063,100
200000064,136
200000065,139
200000067,100
200000068,115
200000069,100
200000070,113
200000071,113
200000072,124
200000073,107
200000074,111
200000075,122
200000076,137
200000077,123
200000078,125
200000079,126
200000080,106
200000081,100
200000082,108
200000083,106
200000084,125
200000085,105
200000086,124
200000087,114
200000088,109
200000089,129
200000090,129
200000091,113
200000092,114
200000093,100
200000094,113
200000095,106
200000096,114
200000097,107
200000098,130
200000099,137
200000100,112
200000101,121
200000102,111
200000103,103
200000104,104
200000105,104
200000107,122
200000108,112
200000109,106
200000110,102
200000111,102
200000112,102
200000113,125
200000114,103
200000115,103
200000116,127
200000117,126
200000118,102
200000119,129
200000120,103
200000121,136
200000122,126
200000123,113
200000124,130
200000125,138
200000126,100
200000127,101
200000128,135
200000129,116
200000130,134
200000131,134
200000132,138
200000133,105
200000134,109
200000135,129
200000136,128
200000137,124
200000138,123
200000139,106
200000140,106
200000141,130
200000142,103
200000143,127
200000144,136
200000145,129
200000146,127
200000147,130
200000148,108
200000149,131
200000150,113
200000151,137
200000152,107
200000153,124
200000154,125
200000155,108
200000156,131
200000157,108
200000158,109
200000159,123
200000160,131
200000161,121
200000162,133
200000164,116
200000165,133
200000166,133
200000167,126
200000168,115
200000169,102
200000170,126
